ell Cl857x857 Cl545x545 Cl353x353 Cl217x217 Cl3000x3000 Cl857x545 Cl857x353 Cl857x217 Cl545x353 Cl545x217 Cl353x217 Cl3000x857 Cl3000x545 Cl3000x353 Cl3000x217 Cl100x100 Cl100x857 Cl100x545 Cl100x353 Cl100x217 Cl143x143 Cl143x857 Cl143x545 Cl143x353 Cl143x217 Cl100x143
1036.2 21663 5657.8 737.15 44.909 8778.2 10828 3786.2 909.27 2028.1 494.79 181.44 9786.6 4203 1357.2 310.42 0.25182 66.212 36.516 13.489 3.3539 2.5258 211.58 116.2 42.822 10.632 0.79737
1154.7 18547 4825.4 627.93 38.225 7983.4 9248.7 3231.1 775.6 1728.6 421.57 154.5 8582.2 3657.6 1176.6 268.52 0.21409 56.401 31.082 11.476 2.8523 2.1479 180.24 98.917 36.435 9.0428 0.67799
1286.6 15843 4099.5 533.32 32.485 7284.5 7872.2 2746.8 659.01 1468 358.02 131.25 7552.1 3189.3 1021.2 232.42 0.18198 47.845 26.376 9.7444 2.4233 1.8251 152.91 83.932 30.935 7.6816 0.57619
1433.7 13555 3467.5 449.59 27.358 6669.9 6691.6 2328.1 557.67 1239.3 301.95 110.58 6688.1 2795.3 889.98 201.85 0.15311 40.375 22.205 8.199 2.0388 1.5355 129.07 70.672 26.03 6.4628 0.48476
1597.5 11704 2946.4 379.37 23.004 6126.9 5729.3 1984.8 474.24 1049.2 255.09 93.134 5975.8 2472.3 782.54 176.81 0.12833 34.197 18.703 6.8882 1.7105 1.2878 109.39 59.553 21.878 5.424 0.40645
1780.1 10235 2535.3 323.82 19.544 5642.5 4969 1713.9 408.42 899.09 218.05 79.308 5386.6 2209 695.53 156.61 0.10854 29.316 15.928 5.8464 1.4488 1.0903 93.831 50.747 18.579 4.5967 0.34393
1983.6 9048.3 2210.4 280.39 16.854 5205.9 4361.6 1498.8 356.33 781.12 189.04 68.53 4891 1990.7 623.96 140.08 0.093188 25.455 13.756 5.0348 1.2455 0.937 81.514 43.848 16.008 3.9536 0.29543
2210.3 8065 1944.5 245.21 14.693 4810.2 3861 1322.1 313.67 685.05 165.49 59.834 4468.5 1806.6 563.92 126.26 0.080915 22.29 11.994 4.3808 1.0824 0.81409 71.41 38.246 13.933 3.437 0.2566
2462.9 7248.6 1722.7 215.81 12.888 4450.2 3444.4 1174.9 278.09 604.81 145.81 52.567 4108 1650.9 513.35 114.64 0.070649 19.639 10.517 3.8329 0.94591 0.71122 62.948 33.55 12.195 3.0044 0.22411
2744.4 6583.5 1540.8 191.53 11.387 4121.5 3104.5 1054.5 248.95 538.81 129.59 46.547 3801 1520.2 471.16 104.97 0.062056 17.452 9.2914 3.3764 0.83185 0.62524 55.969 29.655 10.747 2.6433 0.19693
3058.1 6049.7 1396 172.13 10.185 3819.7 2833.4 958.59 225.73 486.19 116.64 41.731 3538.4 1410.5 436.09 96.988 0.05511 15.694 8.3059 3.0086 0.7398 0.55581 50.361 26.524 9.5816 2.352 0.17497
3407.6 5619.3 1281.9 156.96 9.2459 3541 2617.6 882.73 207.43 444.9 106.5 37.968 3310.3 1317.3 406.67 90.337 0.049651 14.294 7.5273 2.719 0.6674 0.50122 45.888 24.049 8.6633 2.1228 0.15772
3797.1 5264.9 1190.7 144.99 8.5107 3282.4 2442.7 821.7 192.77 412.12 98.478 35.011 3108.8 1236.7 381.49 84.689 0.045352 13.158 6.9048 2.4891 0.6102 0.45813 42.252 22.067 7.9335 1.9415 0.14411
4231.1 4967.6 1116 135.29 7.9188 3041.6 2297.8 771.45 180.75 385.41 91.966 32.621 2928.5 1165.7 359.57 79.804 0.041856 12.207 6.3909 2.3007 0.56353 0.42301 39.207 20.43 7.3347 1.7934 0.13303
4714.7 4717 1054.2 127.32 7.4339 2816.7 2177.1 729.81 170.81 363.42 86.614 30.662 2765.8 1102.8 340.31 75.54 0.03894 11.4 5.9586 2.1429 0.52453 0.39368 36.62 19.051 6.8328 1.6696 0.12378
5253.6 4505.2 1003.6 120.84 7.0406 2606.2 2076.8 695.49 162.65 345.48 82.258 29.072 2617.4 1046.4 323.25 71.791 0.036511 10.714 5.5951 2.0109 0.49199 0.36921 34.417 17.89 6.4125 1.5662 0.11608
5854 4323.8 962.19 115.63 6.7264 2408.8 1993 667.14 155.96 330.93 78.743 27.797 2480.6 995.21 307.94 68.452 0.034498 10.124 5.2887 1.9005 0.46493 0.34889 32.521 16.911 6.0608 1.4801 0.10968
6523.1 4164.9 927.77 111.41 6.4752 2223.4 1921.5 643.3 150.39 319 75.883 26.771 2352.7 948.02 293.96 65.425 0.032812 9.6056 5.0253 1.8069 0.44214 0.33181 30.85 16.067 5.7617 1.4075 0.10432
7268.6 4021.7 898.32 107.9 6.27 2049.2 1858.7 622.66 145.6 308.95 73.495 25.926 2231.9 903.84 280.97 62.626 0.031353 9.133 4.7907 1.7246 0.42228 0.31695 29.324 15.313 5.4983 1.344 0.099664
8099.4 3889.7 872.38 104.89 6.097 1885.4 1802 604.27 141.38 300.21 71.437 25.208 2116.8 862 268.72 59.999 0.030037 8.6886 4.5739 1.6494 0.40426 0.30349 27.887 14.616 5.2569 1.2864 0.095456
9025.1 3765.8 849.07 102.26 5.9481 1731.5 1749.8 587.57 137.57 292.47 69.629 24.585 2006.5 822.03 257.06 57.506 0.028812 8.2619 4.3683 1.5786 0.38742 0.29093 26.506 13.953 5.0298 1.2324 0.091534
10057 3647.4 827.72 99.926 5.8183 1587 1700.9 572.09 134.07 285.48 68.012 24.037 1900.1 783.51 245.86 55.114 0.027647 7.8453 4.1697 1.5108 0.37134 0.27895 25.157 13.313 4.8115 1.1807 0.0878
